City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,coruripe,-10.1256,-36.1756,24.5,76,5,3.39,BR,1701219432
181,kroya,-7.6331,109.2461,27.41,74,76,2.13,ID,1701219432
182,hithadhoo,-0.6,73.0833,28.08,74,100,4.22,MV,1701219432
183,kuanda,56.3161,116.0806,-20.75,91,100,1.31,RU,1701219433
184,porto novo,6.4965,2.6036,27.9,88,44,2.63,BJ,1701219433
185,nova sintra,14.8667,-24.7167,21.63,73,9,5.28,CV,1701219433
186,raub,3.7899,101.857,25.95,93,100,1.31,MY,1701219433
187,klyuchi,52.2667,79.1667,-1.02,72,100,3.11,RU,1701219434
188,dschang,5.4456,10.055,16.78,92,90,0.73,CM,1701219434
189,cognac,45.5,-0.25,3.43,100,8,0.0,FR,1701219434
190,port isabel,26.0734,-97.2086,17.05,77,100,5.14,US,1701219434
191,lepsy,46.235,78.9456,4.4,62,15,1.89,KZ,1701219435
192,barakani,-12.1356,44.4317,26.61,83,81,5.0,KM,1701219435
193,la tuque,47.4334,-72.7824,-6.86,73,100,1.03,CA,1701219435
194,khandyga,62.6667,135.6,-28.17,98,99,0.81,RU,1701219436
195,tanout,14.9709,8.8879,23.45,25,88,4.18,NE,1701219436
196,nantucket,41.2835,-70.0995,2.08,44,20,7.72,US,1701219436
197,moussoro,13.6408,16.4901,25.59,21,3,4.76,TD,1701219436
198,fort bragg,35.139,-79.006,6.75,45,0,2.06,US,1701219437
199,lesnoy,57.6198,63.0784,-4.05,95,100,2.51,RU,1701219437
200,callao,-12.0667,-77.15,22.07,77,20,7.2,PE,1701219330
201,hovd,48.0056,91.6419,-10.8,97,88,0.44,MN,1701219437
202,phalodi,27.1333,72.3667,18.04,66,0,2.92,IN,1701219438
203,nar'yan-mar,67.6713,53.087,-17.16,95,86,4.92,RU,1701219438
204,selkirk,50.1436,-96.8845,1.04,89,58,4.48,CA,1701219348
205,guerrero negro,27.9769,-114.0611,19.33,62,99,4.86,MX,1701219438
206,lycksele,64.5954,18.6735,-4.76,86,75,3.6,SE,1701219439
207,nanzhang chengguanzhen,31.7839,111.8275,11.9,46,100,5.08,CN,1701219439
208,murun-kuren,49.6342,100.1625,-18.6,95,20,1.16,MN,1701219439
209,la ronge,55.1001,-105.2842,1.14,64,0,4.12,CA,1701219439
210,sinabang,2.4803,96.3801,26.7,84,100,2.87,ID,1701219439
211,shetpe,44.1667,52.1167,2.28,69,8,2.22,KZ,1701219440
212,kayangel,8.0823,134.7173,28.86,76,100,8.18,PW,1701219440
213,sanctuary point,-35.1114,150.629,22.77,89,100,7.6,AU,1701219441
214,bikenibeu village,1.3673,173.1241,31.98,66,20,2.06,KI,1701219441
215,kikwit,-5.041,18.8162,20.27,98,100,0.23,CD,1701219441
216,turpan,42.9333,89.1667,4.62,40,100,1.1,CN,1701219441
217,ramadi,33.4226,43.3058,13.45,42,0,4.33,IQ,1701219441
218,suklayin,15.7574,121.5503,25.67,92,100,1.71,PH,1701219442
219,guigang,23.0964,109.6092,19.32,64,100,1.68,CN,1701219442
220,flekkefjord,58.2971,6.6607,-3.36,67,90,2.1,NO,1701219442
221,felege neway,6.3,36.8833,16.59,68,6,0.17,ET,1701219443
222,kavaratti,10.5669,72.642,28.42,73,100,3.46,IN,1701219443
223,shingu,33.7333,135.9833,13.81,51,18,3.29,JP,1701219443
224,naze,28.3667,129.4833,17.51,54,2,1.98,JP,1701219443
225,severo-yeniseyskiy,60.3725,93.0408,-14.12,85,100,1.34,RU,1701219444
226,krasnohrad,49.3814,35.4402,2.77,90,100,8.24,UA,1701219438
227,anshun,26.25,105.9333,10.37,75,100,1.12,CN,1701219444
